Notes,States,States Code,Single-Year Ages,Single-Year Ages Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,Alabama,01,75 years,75,2021,2021,34555
,Alabama,01,75 years,75,2022,2022,48060
Total,Alabama,01,75 years,75,,,117347
,Alabama,01,76 years,76,2020,2020,33937
,Alabama,01,76 years,76,2021,2021,33349
,Alabama,01,76 years,76,2022,2022,33303
Total,Alabama,01,76 years,76,,,100589
,Alabama,01,77 years,77,2020,2020,34353
,Alabama,01,77 years,77,2021,2021,32345
,Alabama,01,77 years,77,2022,2022,31932
Total,Alabama,01,77 years,77,,,98630
,Alabama,01,78 years,78,2020,2020,29115
,Alabama,01,78 years,78,2021,2021,32672
,Alabama,01,78 years,78,2022,2022,30898
Total,Alabama,01,78 years,78,,,92685
,Alabama,01,79 years,79,2020,2020,25948
,Alabama,01,79 years,79,2021,2021,27255
,Alabama,01,79 years,79,2022,2022,30753
Total,Alabama,01,79 years,79,,,83956
,Alabama,01,80 years,80,2020,2020,23950
,Alabama,01,80 years,80,2021,2021,24282
,Alabama,01,80 years,80,2022,2022,25601
Total,Alabama,01,80 years,80,,,73833
,Alabama,01,81 years,81,2020,2020,22483
,Alabama,01,81 years,81,2021,2021,22420
,Alabama,01,81 years,81,2022,2022,22747
Total,Alabama,01,81 years,81,,,67650
,Alabama,01,82 years,82,2020,2020,20866
,Alabama,01,82 years,82,2021,2021,20714
,Alabama,01,82 years,82,2022,2022,20701
Total,Alabama,01,82 years,82,,,62281
,Alabama,01,83 years,83,2020,2020,18212
,Alabama,01,83 years,83,2021,2021,19143
,Alabama,01,83 years,83,2022,2022,19030
Total,Alabama,01,83 years,83,,,56385
,Alabama,01,84 years,84,2020,2020,16723
,Alabama,01,84 years,84,2021,2021,16534
,Alabama,01,84 years,84,2022,2022,17455
Total,Alabama,01,84 years,84,,,50712
,Alabama,01,85+ years,85+,2020,2020,92869
,Alabama,01,85+ years,85+,2021,2021,92745
,Alabama,01,85+ years,85+,2022,2022,93371
Total,Alabama,01,85+ years,85+,,,278985
Total,Alabama,01,,,,,15155504
,Alaska,02,< 1 year,0,2020,2020,9566
,Alaska,02,< 1 year,0,2021,2021,9451
,Alaska,02,< 1 year,0,2022,2022,9490
Total,Alaska,02,< 1 year,0,,,28507
,Alaska,02,1 year,1,2020,2020,9465
,Alaska,02,1 year,1,2021,2021,9495
,Alaska,02,1 year,1,2022,2022,9266
Total,Alaska,02,1 year,1,,,28226
,Alaska,02,2 years,2,2020,2020,9683
,Alaska,02,2 years,2,2021,2021,9306
,Alaska,02,2 years,2,2022,2022,9338
Total,Alaska,02,2 years,2,,,28327
,Alaska,02,3 years,3,2020,2020,9981
,Alaska,02,3 years,3,2021,2021,9616
,Alaska,02,3 years,3,2022,2022,9203
Total,Alaska,02,3 years,3,,,28800
,Alaska,02,4 years,4,2020,2020,10284
,Alaska,02,4 years,4,2021,2021,10043
,Alaska,02,4 years,4,2022,2022,9508
Total,Alaska,02,4 years,4,,,29835
,Alaska,02,5 years,5,2020,2020,10216
,Alaska,02,5 years,5,2021,2021,10161
,Alaska,02,5 years,5,2022,2022,9951
Total,Alaska,02,5 years,5,,,30328
