Notes,States,States Code,Single-Year Ages,Single-Year Ages Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,Virginia,51,26 years,26,2020,2020,116306
,Virginia,51,26 years,26,2021,2021,114637
,Virginia,51,26 years,26,2022,2022,113138
Total,Virginia,51,26 years,26,,,344081
,Virginia,51,27 years,27,2020,2020,117418
,Virginia,51,27 years,27,2021,2021,116817
,Virginia,51,27 years,27,2022,2022,115212
Total,Virginia,51,27 years,27,,,349447
,Virginia,51,28 years,28,2020,2020,118192
,Virginia,51,28 years,28,2021,2021,117610
,Virginia,51,28 years,28,2022,2022,116629
Total,Virginia,51,28 years,28,,,352431
,Virginia,51,29 years,29,2020,2020,119536
,Virginia,51,29 years,29,2021,2021,118544
,Virginia,51,29 years,29,2022,2022,117798
Total,Virginia,51,29 years,29,,,355878
,Virginia,51,30 years,30,2020,2020,120147
,Virginia,51,30 years,30,2021,2021,119915
,Virginia,51,30 years,30,2022,2022,118800
Total,Virginia,51,30 years,30,,,358862
,Virginia,51,31 years,31,2020,2020,118048
,Virginia,51,31 years,31,2021,2021,120375
,Virginia,51,31 years,31,2022,2022,120332
Total,Virginia,51,31 years,31,,,358755
,Virginia,51,32 years,32,2020,2020,117630
,Virginia,51,32 years,32,2021,2021,118771
,Virginia,51,32 years,32,2022,2022,121421
Total,Virginia,51,32 years,32,,,357822
,Virginia,51,33 years,33,2020,2020,117608
,Virginia,51,33 years,33,2021,2021,118132
,Virginia,51,33 years,33,2022,2022,119472
Total,Virginia,51,33 years,33,,,355212
,Virginia,51,34 years,34,2020,2020,118920
,Virginia,51,34 years,34,2021,2021,118198
,Virginia,51,34 years,34,2022,2022,118727
Total,Virginia,51,34 years,34,,,355845
,Virginia,51,35 years,35,2020,2020,119014
,Virginia,51,35 years,35,2021,2021,119236
,Virginia,51,35 years,35,2022,2022,118770
Total,Virginia,51,35 years,35,,,357020
,Virginia,51,36 years,36,2020,2020,116850
,Virginia,51,36 years,36,2021,2021,119130
,Virginia,51,36 years,36,2022,2022,119470
Total,Virginia,51,36 years,36,,,355450
,Virginia,51,37 years,37,2020,2020,119448
,Virginia,51,37 years,37,2021,2021,117209
,Virginia,51,37 years,37,2022,2022,119567
Total,Virginia,51,37 years,37,,,356224
,Virginia,51,38 years,38,2020,2020,118993
,Virginia,51,38 years,38,2021,2021,119322
,Virginia,51,38 years,38,2022,2022,117453
Total,Virginia,51,38 years,38,,,355768
,Virginia,51,39 years,39,2020,2020,117440
,Virginia,51,39 years,39,2021,2021,118871
,Virginia,51,39 years,39,2022,2022,119511
Total,Virginia,51,39 years,39,,,355822
,Virginia,51,40 years,40,2020,2020,116897
,Virginia,51,40 years,40,2021,2021,117360
,Virginia,51,40 years,40,2022,2022,118582
Total,Virginia,51,40 years,40,,,352839
,Virginia,51,41 years,41,2020,2020,112199
,Virginia,51,41 years,41,2021,2021,116481
,Virginia,51,41 years,41,2022,2022,117150
Total,Virginia,51,41 years,41,,,345830
,Virginia,51,42 years,42,2020,2020,109451
,Virginia,51,42 years,42,2021,2021,112096
,Virginia,51,42 years,42,2022,2022,116504
Total,Virginia,51,42 years,42,,,338051
,Virginia,51,43 years,43,2020,2020,107791
,Virginia,51,43 years,43,2021,2021,109321
,Virginia,51,43 years,43,2022,2022,111850
Total,Virginia,51,43 years,43,,,328962
,Virginia,51,44 years,44,2020,2020,103778
,Virginia,51,44 years,44,2021,2021,107366
,Virginia,51,44 years,44,2022,2022,109082
Total,Virginia,51,44 years,44,,,320226
,Virginia,51,45 years,45,2020,2020,105132
,Virginia,51,45 years,45,2021,2021,103321
,Virginia,51,45 years,45,2022,2022,106857
Total,Virginia,51,45 years,45,,,315310
,Virginia,51,46 years,46,2020,2020,103812
,Virginia,51,46 years,46,2021,2021,104865
,Virginia,51,46 years,46,2022,2022,103143
Total,Virginia,51,46 years,46,,,311820
,Virginia,51,47 years,47,2020,2020,105582
,Virginia,51,47 years,47,2021,2021,103005
,Virginia,51,47 years,47,2022,2022,104047
Total,Virginia,51,47 years,47,,,312634
,Virginia,51,48 years,48,2020,2020,111260
,Virginia,51,48 years,48,2021,2021,105059
,Virginia,51,48 years,48,2022,2022,102551
Total,Virginia,51,48 years,48,,,318870
,Virginia,51,49 years,49,2020,2020,117500
,Virginia,51,49 years,49,2021,2021,110708
,Virginia,51,49 years,49,2022,2022,104349
Total,Virginia,51,49 years,49,,,332557
,Virginia,51,50 years,50,2020,2020,115150
,Virginia,51,50 years,50,2021,2021,116613
,Virginia,51,50 years,50,2022,2022,109822
Total,Virginia,51,50 years,50,,,341585
,Virginia,51,51 years,51,2020,2020,110957
,Virginia,51,51 years,51,2021,2021,114345
,Virginia,51,51 years,51,2022,2022,115691
Total,Virginia,51,51 years,51,,,340993
,Virginia,51,52 years,52,2020,2020,109082
,Virginia,51,52 years,52,2021,2021,109950
,Virginia,51,52 years,52,2022,2022,113294
Total,Virginia,51,52 years,52,,,332326
,Virginia,51,53 years,53,2020,2020,109736
,Virginia,51,53 years,53,2021,2021,108121
,Virginia,51,53 years,53,2022,2022,108939
Total,Virginia,51,53 years,53,,,326796
,Virginia,51,54 years,54,2020,2020,111678
,Virginia,51,54 years,54,2021,2021,108834
,Virginia,51,54 years,54,2022,2022,107211
Total,Virginia,51,54 years,54,,,327723
,Virginia,51,55 years,55,2020,2020,116103
,Virginia,51,55 years,55,2021,2021,110422
,Virginia,51,55 years,55,2022,2022,107557
Total,Virginia,51,55 years,55,,,334082
,Virginia,51,56 years,56,2020,2020,119030
,Virginia,51,56 years,56,2021,2021,114928
,Virginia,51,56 years,56,2022,2022,109254
Total,Virginia,51,56 years,56,,,343212
,Virginia,51,57 years,57,2020,2020,118530
,Virginia,51,57 years,57,2021,2021,117544
,Virginia,51,57 years,57,2022,2022,113510
Total,Virginia,51,57 years,57,,,349584
,Virginia,51,58 years,58,2020,2020,117591
,Virginia,51,58 years,58,2021,2021,117049
,Virginia,51,58 years,58,2022,2022,116094
Total,Virginia,51,58 years,58,,,350734
,Virginia,51,59 years,59,2020,2020,116220
,Virginia,51,59 years,59,2021,2021,115995
,Virginia,51,59 years,59,2022,2022,115427
Total,Virginia,51,59 years,59,,,347642
,Virginia,51,60 years,60,2020,2020,112957
,Virginia,51,60 years,60,2021,2021,114370
,Virginia,51,60 years,60,2022,2022,114080
Total,Virginia,51,60 years,60,,,341407
,Virginia,51,61 years,61,2020,2020,110482
,Virginia,51,61 years,61,2021,2021,111329
,Virginia,51,61 years,61,2022,2022,112802
Total,Virginia,51,61 years,61,,,334613
,Virginia,51,62 years,62,2020,2020,108837
,Virginia,51,62 years,62,2021,2021,108656
,Virginia,51,62 years,62,2022,2022,109520
Total,Virginia,51,62 years,62,,,327013
,Virginia,51,63 years,63,2020,2020,106027
,Virginia,51,63 years,63,2021,2021,106873
,Virginia,51,63 years,63,2022,2022,106764
Total,Virginia,51,63 years,63,,,319664
,Virginia,51,64 years,64,2020,2020,100784
,Virginia,51,64 years,64,2021,2021,104148
,Virginia,51,64 years,64,2022,2022,105089
Total,Virginia,51,64 years,64,,,310021
,Virginia,51,65 years,65,2020,2020,97917
,Virginia,51,65 years,65,2021,2021,98820
,Virginia,51,65 years,65,2022,2022,102327
Total,Virginia,51,65 years,65,,,299064
,Virginia,51,66 years,66,2020,2020,94466
,Virginia,51,66 years,66,2021,2021,96281
,Virginia,51,66 years,66,2022,2022,97140
Total,Virginia,51,66 years,66,,,287887
,Virginia,51,67 years,67,2020,2020,90146
,Virginia,51,67 years,67,2021,2021,92754
,Virginia,51,67 years,67,2022,2022,94622
Total,Virginia,51,67 years,67,,,277522
,Virginia,51,68 years,68,2020,2020,86438
,Virginia,51,68 years,68,2021,2021,88562
,Virginia,51,68 years,68,2022,2022,91254
Total,Virginia,51,68 years,68,,,266254
,Virginia,51,69 years,69,2020,2020,82538
,Virginia,51,69 years,69,2021,2021,84869
,Virginia,51,69 years,69,2022,2022,86929
Total,Virginia,51,69 years,69,,,254336
,Virginia,51,70 years,70,2020,2020,79270
,Virginia,51,70 years,70,2021,2021,80795
,Virginia,51,70 years,70,2022,2022,83141
Total,Virginia,51,70 years,70,,,243206
,Virginia,51,71 years,71,2020,2020,77853
,Virginia,51,71 years,71,2021,2021,77507
,Virginia,51,71 years,71,2022,2022,79146
Total,Virginia,51,71 years,71,,,234506
,Virginia,51,72 years,72,2020,2020,76962
,Virginia,51,72 years,72,2021,2021,76084
,Virginia,51,72 years,72,2022,2022,75889
Total,Virginia,51,72 years,72,,,228935
,Virginia,51,73 years,73,2020,2020,81046
,Virginia,51,73 years,73,2021,2021,75180
,Virginia,51,73 years,73,2022,2022,74251
Total,Virginia,51,73 years,73,,,230477
,Virginia,51,74 years,74,2020,2020,57343
,Virginia,51,74 years,74,2021,2021,78874
,Virginia,51,74 years,74,2022,2022,73390
Total,Virginia,51,74 years,74,,,209607
,Virginia,51,75 years,75,2020,2020,55048
,Virginia,51,75 years,75,2021,2021,55526
,Virginia,51,75 years,75,2022,2022,76688
Total,Virginia,51,75 years,75,,,187262
,Virginia,51,76 years,76,2020,2020,53643
,Virginia,51,76 years,76,2021,2021,53197
,Virginia,51,76 years,76,2022,2022,53772
Total,Virginia,51,76 years,76,,,160612
,Virginia,51,77 years,77,2020,2020,53942
,Virginia,51,77 years,77,2021,2021,51639
,Virginia,51,77 years,77,2022,2022,51298
Total,Virginia,51,77 years,77,,,156879
,Virginia,51,78 years,78,2020,2020,45815
,Virginia,51,78 years,78,2021,2021,51862
,Virginia,51,78 years,78,2022,2022,49660
Total,Virginia,51,78 years,78,,,147337
,Virginia,51,79 years,79,2020,2020,40898
,Virginia,51,79 years,79,2021,2021,43681
,Virginia,51,79 years,79,2022,2022,49674
Total,Virginia,51,79 years,79,,,134253
,Virginia,51,80 years,80,2020,2020,37143
,Virginia,51,80 years,80,2021,2021,38751
,Virginia,51,80 years,80,2022,2022,41510
Total,Virginia,51,80 years,80,,,117404
,Virginia,51,81 years,81,2020,2020,34243
,Virginia,51,81 years,81,2021,2021,35201
,Virginia,51,81 years,81,2022,2022,36842
Total,Virginia,51,81 years,81,,,106286
,Virginia,51,82 years,82,2020,2020,31584
,Virginia,51,82 years,82,2021,2021,32171
,Virginia,51,82 years,82,2022,2022,33211
Total,Virginia,51,82 years,82,,,96966
,Virginia,51,83 years,83,2020,2020,28102
,Virginia,51,83 years,83,2021,2021,29480
,Virginia,51,83 years,83,2022,2022,30159
Total,Virginia,51,83 years,83,,,87741
,Virginia,51,84 years,84,2020,2020,25502
,Virginia,51,84 years,84,2021,2021,25859
,Virginia,51,84 years,84,2022,2022,27227
Total,Virginia,51,84 years,84,,,78588
,Virginia,51,85+ years,85+,2020,2020,154014
,Virginia,51,85+ years,85+,2021,2021,154853
,Virginia,51,85+ years,85+,2022,2022,156858
Total,Virginia,51,85+ years,85+,,,465725
Total,Virginia,51,,,,,25977455
,Washington,53,< 1 year,0,2020,2020,85143
,Washington,53,< 1 year,0,2021,2021,82368
,Washington,53,< 1 year,0,2022,2022,84431
Total,Washington,53,< 1 year,0,,,251942
,Washington,53,1 year,1,2020,2020,85505
,Washington,53,1 year,1,2021,2021,85179
,Washington,53,1 year,1,2022,2022,82628
Total,Washington,53,1 year,1,,,253312
,Washington,53,2 years,2,2020,2020,87868
,Washington,53,2 years,2,2021,2021,85283
,Washington,53,2 years,2,2022,2022,85637
Total,Washington,53,2 years,2,,,258788
,Washington,53,3 years,3,2020,2020,91108
,Washington,53,3 years,3,2021,2021,87924
,Washington,53,3 years,3,2022,2022,85464
Total,Washington,53,3 years,3,,,264496
,Washington,53,4 years,4,2020,2020,93880
,Washington,53,4 years,4,2021,2021,90888
,Washington,53,4 years,4,2022,2022,87669
Total,Washington,53,4 years,4,,,272437
,Washington,53,5 years,5,2020,2020,94197
,Washington,53,5 years,5,2021,2021,93654
,Washington,53,5 years,5,2022,2022,90933
Total,Washington,53,5 years,5,,,278784
,Washington,53,6 years,6,2020,2020,93521
,Washington,53,6 years,6,2021,2021,93915
,Washington,53,6 years,6,2022,2022,93251
Total,Washington,53,6 years,6,,,280687
,Washington,53,7 years,7,2020,2020,93210
,Washington,53,7 years,7,2021,2021,93151
,Washington,53,7 years,7,2022,2022,93193
Total,Washington,53,7 years,7,,,279554
,Washington,53,8 years,8,2020,2020,92913
,Washington,53,8 years,8,2021,2021,93116
,Washington,53,8 years,8,2022,2022,92578
Total,Washington,53,8 years,8,,,278607
,Washington,53,9 years,9,2020,2020,93455
,Washington,53,9 years,9,2021,2021,92548
,Washington,53,9 years,9,2022,2022,92513
Total,Washington,53,9 years,9,,,278516
,Washington,53,10 years,10,2020,2020,95312
,Washington,53,10 years,10,2021,2021,93018
,Washington,53,10 years,10,2022,2022,91955
Total,Washington,53,10 years,10,,,280285
,Washington,53,11 years,11,2020,2020,96826
,Washington,53,11 years,11,2021,2021,95015
,Washington,53,11 years,11,2022,2022,92656
Total,Washington,53,11 years,11,,,284497
,Washington,53,12 years,12,2020,2020,99389
,Washington,53,12 years,12,2021,2021,96401
,Washington,53,12 years,12,2022,2022,94454
Total,Washington,53,12 years,12,,,290244
,Washington,53,13 years,13,2020,2020,97864
,Washington,53,13 years,13,2021,2021,98956
,Washington,53,13 years,13,2022,2022,95813
Total,Washington,53,13 years,13,,,292633
,Washington,53,14 years,14,2020,2020,95119
,Washington,53,14 years,14,2021,2021,97660
,Washington,53,14 years,14,2022,2022,98200
Total,Washington,53,14 years,14,,,290979
,Washington,53,15 years,15,2020,2020,93505
,Washington,53,15 years,15,2021,2021,94959
,Washington,53,15 years,15,2022,2022,97175
Total,Washington,53,15 years,15,,,285639
,Washington,53,16 years,16,2020,2020,93574
,Washington,53,16 years,16,2021,2021,93351
,Washington,53,16 years,16,2022,2022,94570
Total,Washington,53,16 years,16,,,281495
,Washington,53,17 years,17,2020,2020,92775
,Washington,53,17 years,17,2021,2021,93433
,Washington,53,17 years,17,2022,2022,93453
Total,Washington,53,17 years,17,,,279661
,Washington,53,18 years,18,2020,2020,91979
,Washington,53,18 years,18,2021,2021,85863
,Washington,53,18 years,18,2022,2022,89157
Total,Washington,53,18 years,18,,,266999
,Washington,53,19 years,19,2020,2020,96598
,Washington,53,19 years,19,2021,2021,83081
,Washington,53,19 years,19,2022,2022,85246
Total,Washington,53,19 years,19,,,264925
,Washington,53,20 years,20,2020,2020,98205
,Washington,53,20 years,20,2021,2021,95766
,Washington,53,20 years,20,2022,2022,91778
Total,Washington,53,20 years,20,,,285749
,Washington,53,21 years,21,2020,2020,95828
,Washington,53,21 years,21,2021,2021,97595
,Washington,53,21 years,21,2022,2022,100029
Total,Washington,53,21 years,21,,,293452
,Washington,53,22 years,22,2020,2020,97771
,Washington,53,22 years,22,2021,2021,98340
,Washington,53,22 years,22,2022,2022,102907
Total,Washington,53,22 years,22,,,299018
,Washington,53,23 years,23,2020,2020,100208
,Washington,53,23 years,23,2021,2021,100832
,Washington,53,23 years,23,2022,2022,103229
Total,Washington,53,23 years,23,,,304269
,Washington,53,24 years,24,2020,2020,103078
,Washington,53,24 years,24,2021,2021,102437
,Washington,53,24 years,24,2022,2022,104852
Total,Washington,53,24 years,24,,,310367
,Washington,53,25 years,25,2020,2020,107010
,Washington,53,25 years,25,2021,2021,105596
,Washington,53,25 years,25,2022,2022,105901
Total,Washington,53,25 years,25,,,318507
,Washington,53,26 years,26,2020,2020,110985
,Washington,53,26 years,26,2021,2021,108884
,Washington,53,26 years,26,2022,2022,108527
Total,Washington,53,26 years,26,,,328396
,Washington,53,27 years,27,2020,2020,114436
,Washington,53,27 years,27,2021,2021,112837
,Washington,53,27 years,27,2022,2022,112086
Total,Washington,53,27 years,27,,,339359
,Washington,53,28 years,28,2020,2020,119723
,Washington,53,28 years,28,2021,2021,115991
,Washington,53,28 years,28,2022,2022,115858
Total,Washington,53,28 years,28,,,351572
,Washington,53,29 years,29,2020,2020,123529
,Washington,53,29 years,29,2021,2021,121154
,Washington,53,29 years,29,2022,2022,118651
Total,Washington,53,29 years,29,,,363334
,Washington,53,30 years,30,2020,2020,124797
,Washington,53,30 years,30,2021,2021,125053
,Washington,53,30 years,30,2022,2022,123610
Total,Washington,53,30 years,30,,,373460
,Washington,53,31 years,31,2020,2020,121082
,Washington,53,31 years,31,2021,2021,125788
,Washington,53,31 years,31,2022,2022,126915
Total,Washington,53,31 years,31,,,373785
,Washington,53,32 years,32,2020,2020,117879
,Washington,53,32 years,32,2021,2021,121803
,Washington,53,32 years,32,2022,2022,127226
Total,Washington,53,32 years,32,,,366908
,Washington,53,33 years,33,2020,2020,115996
,Washington,53,33 years,33,2021,2021,118675
,Washington,53,33 years,33,2022,2022,123211
Total,Washington,53,33 years,33,,,357882
,Washington,53,34 years,34,2020,2020,116477
,Washington,53,34 years,34,2021,2021,116560
,Washington,53,34 years,34,2022,2022,119620
Total,Washington,53,34 years,34,,,352657
,Washington,53,35 years,35,2020,2020,116273
,Washington,53,35 years,35,2021,2021,117043
,Washington,53,35 years,35,2022,2022,117255
Total,Washington,53,35 years,35,,,350571
,Washington,53,36 years,36,2020,2020,113584
,Washington,53,36 years,36,2021,2021,116573
,Washington,53,36 years,36,2022,2022,117635
Total,Washington,53,36 years,36,,,347792
,Washington,53,37 years,37,2020,2020,114179
,Washington,53,37 years,37,2021,2021,113679
,Washington,53,37 years,37,2022,2022,116661
Total,Washington,53,37 years,37,,,344519
,Washington,53,38 years,38,2020,2020,113644
,Washington,53,38 years,38,2021,2021,114365
,Washington,53,38 years,38,2022,2022,113757
Total,Washington,53,38 years,38,,,341766
,Washington,53,39 years,39,2020,2020,110681
,Washington,53,39 years,39,2021,2021,113447
,Washington,53,39 years,39,2022,2022,114060
Total,Washington,53,39 years,39,,,338188
,Washington,53,40 years,40,2020,2020,108415
,Washington,53,40 years,40,2021,2021,110722
,Washington,53,40 years,40,2022,2022,113162
Total,Washington,53,40 years,40,,,332299
,Washington,53,41 years,41,2020,2020,102706
,Washington,53,41 years,41,2021,2021,108059
,Washington,53,41 years,41,2022,2022,110172
Total,Washington,53,41 years,41,,,320937
,Washington,53,42 years,42,2020,2020,99152
,Washington,53,42 years,42,2021,2021,102276
,Washington,53,42 years,42,2022,2022,107230
Total,Washington,53,42 years,42,,,308658
,Washington,53,43 years,43,2020,2020,97089
,Washington,53,43 years,43,2021,2021,98664
,Washington,53,43 years,43,2022,2022,101740
Total,Washington,53,43 years,43,,,297493
,Washington,53,44 years,44,2020,2020,93039
,Washington,53,44 years,44,2021,2021,96774
,Washington,53,44 years,44,2022,2022,97830
Total,Washington,53,44 years,44,,,287643
,Washington,53,45 years,45,2020,2020,92999
,Washington,53,45 years,45,2021,2021,92762
,Washington,53,45 years,45,2022,2022,96015
Total,Washington,53,45 years,45,,,281776
,Washington,53,46 years,46,2020,2020,89881
,Washington,53,46 years,46,2021,2021,92517
,Washington,53,46 years,46,2022,2022,91922
Total,Washington,53,46 years,46,,,274320
,Washington,53,47 years,47,2020,2020,89627
,Washington,53,47 years,47,2021,2021,89634
,Washington,53,47 years,47,2022,2022,91716
Total,Washington,53,47 years,47,,,270977
,Washington,53,48 years,48,2020,2020,93554
,Washington,53,48 years,48,2021,2021,89164
,Washington,53,48 years,48,2022,2022,88742
Total,Washington,53,48 years,48,,,271460
,Washington,53,49 years,49,2020,2020,100176
,Washington,53,49 years,49,2021,2021,93053
,Washington,53,49 years,49,2022,2022,88537
Total,Washington,53,49 years,49,,,281766
,Washington,53,50 years,50,2020,2020,99584
,Washington,53,50 years,50,2021,2021,99587
,Washington,53,50 years,50,2022,2022,92276
Total,Washington,53,50 years,50,,,291447
,Washington,53,51 years,51,2020,2020,95881
,Washington,53,51 years,51,2021,2021,98935
,Washington,53,51 years,51,2022,2022,98615
Total,Washington,53,51 years,51,,,293431
,Washington,53,52 years,52,2020,2020,91759
,Washington,53,52 years,52,2021,2021,95438
,Washington,53,52 years,52,2022,2022,98072
Total,Washington,53,52 years,52,,,285269
,Washington,53,53 years,53,2020,2020,90066
,Washington,53,53 years,53,2021,2021,91125
,Washington,53,53 years,53,2022,2022,94407
Total,Washington,53,53 years,53,,,275598
,Washington,53,54 years,54,2020,2020,89899
,Washington,53,54 years,54,2021,2021,89245
,Washington,53,54 years,54,2022,2022,89981
Total,Washington,53,54 years,54,,,269125
,Washington,53,55 years,55,2020,2020,93601
,Washington,53,55 years,55,2021,2021,89411
,Washington,53,55 years,55,2022,2022,88434
Total,Washington,53,55 years,55,,,271446
,Washington,53,56 years,56,2020,2020,96663
,Washington,53,56 years,56,2021,2021,92597
,Washington,53,56 years,56,2022,2022,88319
Total,Washington,53,56 years,56,,,277579
,Washington,53,57 years,57,2020,2020,98187
,Washington,53,57 years,57,2021,2021,95847
,Washington,53,57 years,57,2022,2022,91743
Total,Washington,53,57 years,57,,,285777
,Washington,53,58 years,58,2020,2020,98799
,Washington,53,58 years,58,2021,2021,97159
,Washington,53,58 years,58,2022,2022,94503
Total,Washington,53,58 years,58,,,290461
,Washington,53,59 years,59,2020,2020,98902
,Washington,53,59 years,59,2021,2021,97825
,Washington,53,59 years,59,2022,2022,96025
Total,Washington,53,59 years,59,,,292752
,Washington,53,60 years,60,2020,2020,97228
,Washington,53,60 years,60,2021,2021,97992
,Washington,53,60 years,60,2022,2022,96578
Total,Washington,53,60 years,60,,,291798
,Washington,53,61 years,61,2020,2020,95687
,Washington,53,61 years,61,2021,2021,96053
,Washington,53,61 years,61,2022,2022,96406
Total,Washington,53,61 years,61,,,288146
,Washington,53,62 years,62,2020,2020,95760
,Washington,53,62 years,62,2021,2021,94436
,Washington,53,62 years,62,2022,2022,94451
Total,Washington,53,62 years,62,,,284647
,Washington,53,63 years,63,2020,2020,94717
,Washington,53,63 years,63,2021,2021,94417
,Washington,53,63 years,63,2022,2022,92802
Total,Washington,53,63 years,63,,,281936
,Washington,53,64 years,64,2020,2020,91268
,Washington,53,64 years,64,2021,2021,93360
,Washington,53,64 years,64,2022,2022,92804
Total,Washington,53,64 years,64,,,277432
,Washington,53,65 years,65,2020,2020,89829
,Washington,53,65 years,65,2021,2021,90038
,Washington,53,65 years,65,2022,2022,91609
Total,Washington,53,65 years,65,,,271476
,Washington,53,66 years,66,2020,2020,87555
,Washington,53,66 years,66,2021,2021,88389
,Washington,53,66 years,66,2022,2022,88167
Total,Washington,53,66 years,66,,,264111
,Washington,53,67 years,67,2020,2020,84344
,Washington,53,67 years,67,2021,2021,86082
,Washington,53,67 years,67,2022,2022,86502
Total,Washington,53,67 years,67,,,256928
,Washington,53,68 years,68,2020,2020,80886
,Washington,53,68 years,68,2021,2021,82932
,Washington,53,68 years,68,2022,2022,84266
Total,Washington,53,68 years,68,,,248084
,Washington,53,69 years,69,2020,2020,76331
,Washington,53,69 years,69,2021,2021,79335
,Washington,53,69 years,69,2022,2022,81087
Total,Washington,53,69 years,69,,,236753
,Washington,53,70 years,70,2020,2020,72615
,Washington,53,70 years,70,2021,2021,74982
,Washington,53,70 years,70,2022,2022,77594
Total,Washington,53,70 years,70,,,225191
,Washington,53,71 years,71,2020,2020,70589
,Washington,53,71 years,71,2021,2021,71219
,Washington,53,71 years,71,2022,2022,73329
Total,Washington,53,71 years,71,,,215137
,Washington,53,72 years,72,2020,2020,68606
,Washington,53,72 years,72,2021,2021,69144
,Washington,53,72 years,72,2022,2022,69517
Total,Washington,53,72 years,72,,,207267
,Washington,53,73 years,73,2020,2020,72165
,Washington,53,73 years,73,2021,2021,67007
,Washington,53,73 years,73,2022,2022,67436
Total,Washington,53,73 years,73,,,206608
,Washington,53,74 years,74,2020,2020,50343
,Washington,53,74 years,74,2021,2021,70292
,Washington,53,74 years,74,2022,2022,65075
Total,Washington,53,74 years,74,,,185710
,Washington,53,75 years,75,2020,2020,48451
,Washington,53,75 years,75,2021,2021,48939
,Washington,53,75 years,75,2022,2022,68195
Total,Washington,53,75 years,75,,,165585
,Washington,53,76 years,76,2020,2020,46880
,Washington,53,76 years,76,2021,2021,47011
,Washington,53,76 years,76,2022,2022,47339
Total,Washington,53,76 years,76,,,141230
,Washington,53,77 years,77,2020,2020,46151
,Washington,53,77 years,77,2021,2021,45368
,Washington,53,77 years,77,2022,2022,45437
Total,Washington,53,77 years,77,,,136956
,Washington,53,78 years,78,2020,2020,38665
,Washington,53,78 years,78,2021,2021,44428
,Washington,53,78 years,78,2022,2022,43634
Total,Washington,53,78 years,78,,,126727
,Washington,53,79 years,79,2020,2020,34132
,Washington,53,79 years,79,2021,2021,37049
,Washington,53,79 years,79,2022,2022,42602
Total,Washington,53,79 years,79,,,113783
,Washington,53,80 years,80,2020,2020,30704
,Washington,53,80 years,80,2021,2021,32651
,Washington,53,80 years,80,2022,2022,35328
Total,Washington,53,80 years,80,,,98683
,Washington,53,81 years,81,2020,2020,28163
,Washington,53,81 years,81,2021,2021,29132
,Washington,53,81 years,81,2022,2022,30916
Total,Washington,53,81 years,81,,,88211
,Washington,53,82 years,82,2020,2020,26229
,Washington,53,82 years,82,2021,2021,26660
,Washington,53,82 years,82,2022,2022,27438
Total,Washington,53,82 years,82,,,80327
,Washington,53,83 years,83,2020,2020,23374
,Washington,53,83 years,83,2021,2021,24721
,Washington,53,83 years,83,2022,2022,25046
Total,Washington,53,83 years,83,,,73141
,Washington,53,84 years,84,2020,2020,21181
,Washington,53,84 years,84,2021,2021,21795
,Washington,53,84 years,84,2022,2022,22924
Total,Washington,53,84 years,84,,,65900
,Washington,53,85+ years,85+,2020,2020,133093
,Washington,53,85+ years,85+,2021,2021,134338
,Washington,53,85+ years,85+,2022,2022,135119
Total,Washington,53,85+ years,85+,,,402550
Total,Washington,53,,,,,23250562
,West Virginia,54,< 1 year,0,2020,2020,17273
,West Virginia,54,< 1 year,0,2021,2021,17180
,West Virginia,54,< 1 year,0,2022,2022,17376
Total,West Virginia,54,< 1 year,0,,,51829
,West Virginia,54,1 year,1,2020,2020,17491
,West Virginia,54,1 year,1,2021,2021,17424
,West Virginia,54,1 year,1,2022,2022,17331
Total,West Virginia,54,1 year,1,,,52246
,West Virginia,54,2 years,2,2020,2020,18016
,West Virginia,54,2 years,2,2021,2021,17571
,West Virginia,54,2 years,2,2022,2022,17590
Total,West Virginia,54,2 years,2,,,53177
,West Virginia,54,3 years,3,2020,2020,18343
,West Virginia,54,3 years,3,2021,2021,18052
,West Virginia,54,3 years,3,2022,2022,17616
Total,West Virginia,54,3 years,3,,,54011
,West Virginia,54,4 years,4,2020,2020,18892
,West Virginia,54,4 years,4,2021,2021,18342
,West Virginia,54,4 years,4,2022,2022,18084
Total,West Virginia,54,4 years,4,,,55318
,West Virginia,54,5 years,5,2020,2020,19414
,West Virginia,54,5 years,5,2021,2021,18895
,West Virginia,54,5 years,5,2022,2022,18308
Total,West Virginia,54,5 years,5,,,56617
,West Virginia,54,6 years,6,2020,2020,19794
,West Virginia,54,6 years,6,2021,2021,19419
,West Virginia,54,6 years,6,2022,2022,18959
Total,West Virginia,54,6 years,6,,,58172
,West Virginia,54,7 years,7,2020,2020,19924
,West Virginia,54,7 years,7,2021,2021,19797
,West Virginia,54,7 years,7,2022,2022,19471
Total,West Virginia,54,7 years,7,,,59192
,West Virginia,54,8 years,8,2020,2020,19852
,West Virginia,54,8 years,8,2021,2021,19949
,West Virginia,54,8 years,8,2022,2022,19816
Total,West Virginia,54,8 years,8,,,59617
,West Virginia,54,9 years,9,2020,2020,19830
,West Virginia,54,9 years,9,2021,2021,19876
,West Virginia,54,9 years,9,2022,2022,19985
Total,West Virginia,54,9 years,9,,,59691
,West Virginia,54,10 years,10,2020,2020,20225
,West Virginia,54,10 years,10,2021,2021,19876
,West Virginia,54,10 years,10,2022,2022,19894
Total,West Virginia,54,10 years,10,,,59995
,West Virginia,54,11 years,11,2020,2020,20820
